ticket,open_time,type,size,item,open_px,sl,tp,close_time,close_px,commission,taxes,swap,profit
42741081,2026.05.26 18:04:16,buy,0.01,xauusd,4510.35,0.00,4513.35,2026.05.26 18:04:47,4510.72,0.00,0.00,0.00,0.37
42741082,2026.05.26 18:04:17,sell,0.01,xauusd,4509.93,0.00,4506.93,2026.05.26 18:04:47,4511.23,0.00,0.00,0.00,-1.30
42741092,2026.05.26 18:04:48,buy,0.01,xauusd,4511.08,0.00,4514.08,2026.05.26 18:05:17,4511.71,0.00,0.00,0.00,0.63
42741093,2026.05.26 18:04:48,sell,0.01,xauusd,4510.71,0.00,4507.71,2026.05.26 18:05:19,4512.15,0.00,0.00,0.00,-1.44
42751524,2026.05.27 05:13:45,buy,0.01,xauusd,4504.10,0.00,4503.57,2026.05.27 05:24:17,4503.57,0.00,0.00,0.00,-0.53
42751525,2026.05.27 05:13:45,sell,0.01,xauusd,4503.60,0.00,4500.60,2026.05.27 05:17:14,4500.60,0.00,0.00,0.00,3.00
42751671,2026.05.27 05:17:10,buy,0.02,xauusd,4501.06,0.00,4503.57,2026.05.27 05:24:17,4503.57,0.00,0.00,0.00,5.02
42751691,2026.05.27 05:17:14,sell,0.01,xauusd,4500.17,0.00,4500.92,2026.05.27 05:38:10,4500.92,0.00,0.00,0.00,-0.75
42751858,2026.05.27 05:24:17,sell,0.02,xauusd,4503.55,0.00,4500.92,2026.05.27 05:38:10,4500.92,0.00,0.00,0.00,5.26
42751870,2026.05.27 05:24:18,buy,0.01,xauusd,4503.90,0.00,4503.26,2026.05.27 05:51:57,4503.26,0.00,0.00,0.00,-0.64
42752173,2026.05.27 05:38:11,sell,0.01,xauusd,4500.51,0.00,4505.59,2026.05.27 06:33:31,4505.59,0.00,0.00,0.00,-5.08
42752189,2026.05.27 05:39:56,buy,0.02,xauusd,4500.69,0.00,4503.26,2026.05.27 05:51:57,4503.26,0.00,0.00,0.00,5.14
42752476,2026.05.27 05:51:58,buy,0.01,xauusd,4503.67,0.00,4506.67,2026.05.27 05:57:25,4506.67,0.00,0.00,0.00,3.00
42752499,2026.05.27 05:52:08,sell,0.02,xauusd,4503.53,0.00,4505.59,2026.05.27 06:33:31,4505.59,0.00,0.00,0.00,-4.12
42752686,2026.05.27 05:57:26,sell,0.02,xauusd,4506.67,0.00,4505.59,2026.05.27 06:33:31,4505.59,0.00,0.00,0.00,2.16
42752704,2026.05.27 05:57:26,buy,0.01,xauusd,4507.06,0.00,4510.06,2026.05.27 06:13:52,4510.06,0.00,0.00,0.00,3.00
42753040,2026.05.27 06:13:25,sell,0.03,xauusd,4509.94,0.00,4505.59,2026.05.27 06:33:31,4505.59,0.00,0.00,0.00,13.05
42753058,2026.05.27 06:13:52,buy,0.01,xauusd,4510.45,0.00,4502.75,2026.05.27 07:12:03,4502.75,0.00,0.00,0.00,-7.70
42753314,2026.05.27 06:26:38,buy,0.02,xauusd,4507.50,0.00,4502.75,2026.05.27 07:12:03,4502.75,0.00,0.00,0.00,-9.50
42753488,2026.05.27 06:33:32,sell,0.01,xauusd,4505.06,0.00,4502.06,2026.05.27 06:39:50,4502.06,0.00,0.00,0.00,3.00
42753606,2026.05.27 06:35:31,buy,0.02,xauusd,4504.20,0.00,4502.75,2026.05.27 07:12:03,4502.75,0.00,0.00,0.00,-2.90
42753797,2026.05.27 06:39:51,sell,0.01,xauusd,4501.61,0.00,4502.11,2026.05.27 06:55:05,4502.11,0.00,0.00,0.00,-0.50
42753835,2026.05.27 06:41:29,sell,0.02,xauusd,4504.61,0.00,4502.11,2026.05.27 06:55:05,4502.11,0.00,0.00,0.00,5.00
